peakToPeak(VDC("/Vout"))/5 X,peakToPeak(VDC("/Vout"))/5 Y
0.001,1.228060769076223e-07
0.002,3.084051376944785e-06
0.003,1.799095103560688e-07
0.004,1.714121070990338e-05
0.005,2.050986817270228e-07
0.006,2.311688322542693e-07
0.007,2.568255454526991e-07
0.008,2.82291639353005e-07
0.008999999999999999,3.091968775681408e-07
0.01,3.33416801234776e-07
0.011,2.729267826877546e-05
0.012,3.506033350442195e-06
0.013,4.128914719458976e-07
0.014,1.563462609097677e-05
0.015,4.692761371938303e-07
0.016,4.98872432652675e-07
0.017,5.80441135511478e-07
0.018,5.615589132812459e-07
0.019,9.210578917118184e-06
0.02,6.299421905886505e-07
0.021,6.667179015984459e-07
0.022,7.054965200037344e-07
0.023,7.465219045599269e-07
0.024,7.900717827968861e-07
0.025,8.364651165049253e-07
